序号,匿名公司ID,岗位,月薪下限K,月薪上限K,额外薪数,门槛类型,经验,学历,Agent相关度,方向,近期招聘活跃证据,核心要求证据,来源状态,备注
1,C01,AI Agent（智能体）开发工程师,20,40,13薪,起薪≥20K,3-5年,本科,A-核心Agent,Agent应用开发,2026-08-08核验可访问；招聘方今日回复,Python；OpenClaw；LangChain；AutoGPT；Agent编排,已核验；直达链接不公开,
2,C02,AI智能体开发工程师,15,24,,上限>20K,3-5年,本科,A-核心Agent,Agent平台与部署,2026-08-08核验可访问；招聘方今日回复,Python；Dify；HiAgent；大模型部署；Linux；GPUStack,已核验；直达链接不公开,
3,C03,智能体设计工程师,17,30,16薪,上限>20K,5-10年,本科,A-核心Agent,Agent产品与交互,2026-08-08核验可访问；招聘方刚刚活跃；页面近3周抓取,Agent编排；可视化工作流；可观测；评测；工具市场；Figma/Axure,已核验；直达链接不公开,页面字段存在经验年限冲突
4,C04,智能体开发工程师（工业方向）,15,28,18薪,上限>20K,3-5年,本科,A-核心Agent,工业Agent,发布于约3周前；核验时仍在有效期,LangChain；LangGraph；混合RAG；Python；FastAPI；Docker；SQL；HITL；RBAC；MES,已核验；直达链接不公开,薪资与职位正文经两个公开来源交叉核验
5,C05,AI应用开发工程师,20,30,,起薪≥20K,5-10年,本科,A-核心Agent,企业Agent应用,2026-08-08核验可访问；页面近1周抓取,RAG；Agent；Prompt；Function Calling；Workflow；评测；成本管理,已核验；直达链接不公开,
6,C06,AI Agent工程师（LLM应用/Agent系统）,15,30,,上限>20K,3-5年,本科,A-核心Agent,可靠Agent系统,2026-08-08核验可访问；页面近1周抓取,Agent状态机；任务拆解；工具调用；API/数据库；RAG；向量检索；失败恢复；LangChain；Semantic Kernel,已核验；直达链接不公开,
7,C06,AIOps工程师,15,30,,上限>20K,1-3年,本科,A-核心Agent,AgentOps与可观测,2026-08-08核验可访问；页面近1周抓取,日志/指标/Trace；RAG链路；Token成本；评测流水线；CI/CD；权限与敏感数据,已核验；直达链接不公开,同一公司第二岗位
8,C07,高级AI工程师,20,40,14薪,起薪≥20K,5-10年,本科,B-强相关,AI工程化与架构,招聘聚合页近5天抓取；2026-08-08核验可访问,AI工程化；技术架构；业务落地,已核验；直达链接不公开,聚合页公开摘要有限；未把未展示技能计入频次
9,C08,高级AI工程师,18,25,,上限>20K,3-5年,本科,B-强相关,AI辅助研发平台,招聘聚合页近5天抓取；2026-08-08核验可访问,Copilot；Cursor；AI辅助开发流程；工程规范,已核验；直达链接不公开,
10,C09,高级AI工程师,30,50,,起薪≥20K,3-5年,本科,B-强相关,大模型与多模态,招聘聚合页近5天抓取；2026-08-08核验可访问,大模型；多模态；图像算法；工程化,已核验；直达链接不公开,
11,C10,AI应用高级工程师,15,25,13薪,上限>20K,3-5年,本科,A-核心Agent,知识型Agent,两个公开页面于2026-08-08核验可访问,LLM Agent；知识图谱；知识库；模型微调,已核验；直达链接不公开,公开平台主体映射存在歧义；具体主体不公开
12,C11,高级开发工程师（中台/AI）,17,30,13薪,上限>20K,5-10年,本科,B-强相关,AI应用平台,招聘聚合页近5天抓取；2026-08-08核验可访问,AI应用平台；LLM；生成式AI；中台架构,已核验；直达链接不公开,
13,C12,高级AI算法/大模型专家,35,65,,起薪≥20K,5-10年,本科,B-强相关,大模型后训练与对齐,相关岗位页近1天至5天抓取；2026-08-08核验可访问,SFT；RLHF；对齐；数据清洗；隐私,已核验；直达链接不公开,
14,C13,AI高级算法工程师,30,35,,起薪≥20K,1-3年,硕士,B-强相关,大模型后训练,相关岗位页近1天至5天抓取；2026-08-08核验可访问,Python；SFT；DPO；GRPO；DAPO,已核验；直达链接不公开,
15,C13,NLP/Agent算法工程师,20,30,,起薪≥20K,1-3年,硕士,A-核心Agent,Agent算法与RAG,相关岗位页近3周抓取；2026-08-08核验可访问,RAG；思维链；强化学习；Agent,已核验；直达链接不公开,同一公司第二岗位
16,C14,AI算法工程师,20,35,13薪,起薪≥20K,经验不限,本科,B-强相关,多模态AI工程,相关岗位页近1天抓取；2026-08-08核验可访问,CV；语音；LLM；NLP；工程部署,已核验；直达链接不公开,
17,C15,AI算法工程师,20,40,,起薪≥20K,1-3年,本科,A-核心Agent,大模型安全应用,相关岗位页近1天抓取；2026-08-08核验可访问,大模型安全应用系统；业务方案；实施；持续迭代,已核验；直达链接不公开,Agent归类基于大模型安全应用与端到端落地职责
18,C16,高级AI算法工程师,25,50,,起薪≥20K,5-10年,本科,B-强相关,AI架构与业务赋能,相关岗位页近5天抓取；2026-08-08核验可访问,技术架构；业务赋能；系统落地,已核验；直达链接不公开,
19,C17,边缘AI算法工程师,25,40,,起薪≥20K,3-5年,硕士,B-强相关,大模型推理基础设施,相关岗位页近1天抓取；2026-08-08核验可访问,LLM推理引擎；低延迟；高吞吐；CUDA,已核验；直达链接不公开,
20,C18,AI算法开发工程师,12,24,,上限>20K,3-5年,本科,B-强相关,垂直AI应用,相关岗位页近1天抓取；2026-08-08核验可访问,垂直AI应用场景；算法工程化,已核验；直达链接不公开,
21,C19,机器人AI算法工程师,20,40,,起薪≥20K,3-5年,硕士,B-强相关,具身智能与算法,相关岗位页近1天抓取；2026-08-08核验可访问,机器学习；深度学习；强化学习；LLM微调；机器人,已核验；直达链接不公开,
22,C20,AI模型开发工程师,18,30,,上限>20K,3-5年,本科,A-核心Agent,垂直大模型与Agent,相关岗位页近3周抓取；2026-08-08核验可访问,垂直模型微调；部署；RAG；Agent,已核验；直达链接不公开,
23,C21,大模型算法工程师,20,40,15薪,起薪≥20K,3-5年,硕士,B-强相关,大模型与多模态,相关岗位页当天抓取；2026-08-08核验可访问,LLM；多模态；预训练；微调；压缩,已核验；直达链接不公开,
